Date,Time,Volume_CuM,Flow_Av,Sec,Depth
3/07/2019,10:53:02,166955,0,646032040,-19.5603
3/07/2019,11:08:02,166955,0,646032040,-19.6103
3/07/2019,11:23:02,166955,0,646032040,-19.59
3/07/2019,11:38:02,166955,0,646032040,-19.5447
3/07/2019,11:53:02,166955,0,646032040,-19.5603
3/07/2019,12:08:02,166955,0,646032040,-19.5447
3/07/2019,12:23:02,166955,0,646032040,-19.5759
3/07/2019,12:38:02,166955,0,646032040,-19.5556
3/07/2019,12:53:02,166955,0,646032040,-19.5869
3/07/2019,13:08:02,166955,0,646032040,-19.5416
3/07/2019,13:23:02,166955,0,646032040,-19.5494
3/07/2019,13:38:02,166955,0,646032040,-19.5525
3/07/2019,13:53:02,166955,0,646032040,-19.5525
3/07/2019,14:08:02,166955,0,646032040,-19.5478
3/07/2019,14:23:02,166955,0,646032040,-19.5681
3/07/2019,14:38:02,166955,0,646032040,-19.5603
3/07/2019,14:53:02,166955,0,646032040,-19.5791
3/07/2019,15:08:02,166955,0,646032040,-19.5728
3/07/2019,15:23:02,166955,0,646032040,-19.5978
3/07/2019,15:38:02,166955,0,646032040,-19.6103
3/07/2019,15:53:02,166955,0,646032040,-19.6228
3/07/2019,16:08:02,166955,0,646032040,-19.6025
3/07/2019,16:23:02,166955,0,646032040,-19.629
3/07/2019,16:38:02,166955,0,646032040,-19.6259
3/07/2019,16:53:02,166955,0,646032040,-19.6181
3/07/2019,17:08:02,166955,0,646032040,-19.6119
3/07/2019,17:23:02,166955,0,646032040,-19.629
3/07/2019,17:38:02,166955,0,646032040,-19.6259
3/07/2019,17:53:02,166955,0,646032040,-19.6103
3/07/2019,18:08:02,166955,0,646032040,-19.6275
3/07/2019,18:23:02,166955,0,646032040,-19.615
3/07/2019,18:38:02,166955,0,646032040,-19.6228
3/07/2019,18:53:02,166955,0,646032040,-19.629
3/07/2019,19:08:02,166955,0,646032040,-19.6306
3/07/2019,19:23:02,166955,0,646032040,-19.615
